trial	block	num_tri_i	cond	stim_cond	corr_resp	resp	rt	acc	bl_cond_i	block_cond	t2t	t2t_i
0	0	1	0	[4, 6, 2]	2	2	1.3673857062885872	1	0	pure_pref	pure_pref	4
1	0	2	0	[6, 4, 2]	2	2	1.2180860857124571	1	0	pure_pref	pure_pref	4
2	0	3	0	[1, 3, 5]	2	2	1.6860847794987421	1	0	pure_pref	pure_pref	4
3	0	4	0	[6, 4, 2]	2	2	2.070223300366706	1	0	pure_pref	pure_pref	4
4	0	5	0	[2, 4, 6]	2	2	1.4050541145738862	1	0	pure_pref	pure_pref	4
5	0	6	0	[1, 5, 3]	2	2	1.374892703862315	1	0	pure_pref	pure_pref	4
6	0	7	0	[6, 2, 4]	2	2	2.202327859675279	1	0	pure_pref	pure_pref	4
7	0	8	0	[5, 3, 1]	2	1	1.758644647632991	0	0	pure_pref	pure_pref	4
8	0	9	0	[6, 2, 4]	2	1	1.703026062076333	0	0	pure_pref	pure_pref	4
9	0	10	0	[5, 3, 1]	2	1	1.8550357653789433	0	0	pure_pref	pure_pref	4
10	0	11	0	[3, 5, 1]	2	1	1.2547468433162976	0	0	pure_pref	pure_pref	4
11	0	12	0	[4, 2, 6]	2	1	2.1468259003545427	0	0	pure_pref	pure_pref	4
12	0	13	0	[1, 3, 5]	2	1	1.9230839086894775	0	0	pure_pref	pure_pref	4
13	0	14	0	[5, 3, 1]	2	1	2.2110054736581333	0	0	pure_pref	pure_pref	4
14	0	15	0	[6, 2, 4]	2	1	1.9906866952787823	0	0	pure_pref	pure_pref	4
15	0	16	0	[3, 1, 5]	2	2	1.355006842072271	1	0	pure_pref	pure_pref	4
16	0	17	0	[4, 6, 2]	2	1	1.6787077813023643	0	0	pure_pref	pure_pref	4
17	0	18	0	[1, 5, 3]	2	1	2.0310120047270175	0	0	pure_pref	pure_pref	4
18	0	19	0	[4, 6, 2]	2	2	1.647470299184988	1	0	pure_pref	pure_pref	4
19	0	20	0	[2, 6, 4]	2	2	2.1108966225042423	1	0	pure_pref	pure_pref	4
0	1	21	0	[1, 3, 5]	2	2	1.283416682216739	1	0	pure_pref	pure_pref	4
1	1	22	0	[3, 1, 5]	2	1	1.8475446289726278	0	0	pure_pref	pure_pref	4
2	1	23	0	[2, 4, 6]	2	2	1.6516772407790086	1	0	pure_pref	pure_pref	4
3	1	24	0	[3, 1, 5]	2	2	1.2673023574047875	1	0	pure_pref	pure_pref	4
4	1	25	0	[1, 3, 5]	2	1	1.4511811905204013	0	0	pure_pref	pure_pref	4
5	1	26	0	[2, 6, 4]	2	1	1.7392000995209855	0	0	pure_pref	pure_pref	4
6	1	27	0	[3, 5, 1]	2	1	1.2634574236485605	0	0	pure_pref	pure_pref	4
7	1	28	0	[5, 3, 1]	2	1	1.227570131243283	0	0	pure_pref	pure_pref	4
8	1	29	0	[1, 3, 5]	2	1	1.6318000870805918	0	0	pure_pref	pure_pref	4
9	1	30	0	[3, 1, 5]	2	2	2.219789761771608	1	0	pure_pref	pure_pref	4
10	1	31	0	[6, 2, 4]	2	1	1.5753999502394436	0	0	pure_pref	pure_pref	4
11	1	32	0	[4, 2, 6]	2	1	2.103509050195953	0	0	pure_pref	pure_pref	4
12	1	33	0	[2, 4, 6]	2	1	1.8316588915845387	0	0	pure_pref	pure_pref	4
13	1	34	0	[1, 5, 3]	2	2	2.1316057100207217	1	0	pure_pref	pure_pref	4
14	1	35	0	[6, 2, 4]	2	1	2.1482030229522024	0	0	pure_pref	pure_pref	4
15	1	36	0	[5, 3, 1]	2	1	1.463886608197754	0	0	pure_pref	pure_pref	4
16	1	37	0	[1, 3, 5]	2	1	2.1434512035830267	0	0	pure_pref	pure_pref	4
17	1	38	0	[6, 4, 2]	2	1	2.1320588418238913	0	0	pure_pref	pure_pref	4
18	1	39	0	[4, 6, 2]	2	2	2.4559009765503106	1	0	pure_pref	pure_pref	4
19	1	40	0	[1, 5, 3]	2	1	2.1678425701311426	0	0	pure_pref	pure_pref	4
0	2	41	0	[2, 4, 6]	2	1	1.411835230453562	0	0	pure_pref	pure_pref	4
1	2	42	0	[1, 5, 3]	2	2	1.7561500901906584	1	0	pure_pref	pure_pref	4
2	2	43	0	[3, 5, 1]	2	1	1.2920706599488767	0	0	pure_pref	pure_pref	4
3	2	44	0	[4, 2, 6]	2	1	1.38432139080669	0	0	pure_pref	pure_pref	4
4	2	45	0	[6, 2, 4]	2	1	2.288287926852263	0	0	pure_pref	pure_pref	4
5	2	46	0	[5, 3, 1]	2	1	2.111888412017379	0	0	pure_pref	pure_pref	4
6	2	47	0	[3, 5, 1]	2	1	1.5363967158054948	0	0	pure_pref	pure_pref	4
7	2	48	0	[6, 4, 2]	2	1	2.4919316414752757	0	0	pure_pref	pure_pref	4
8	2	49	0	[3, 5, 1]	2	1	1.2602550227029496	0	0	pure_pref	pure_pref	4
9	2	50	0	[5, 3, 1]	2	1	0.9762965727436494	0	0	pure_pref	pure_pref	4
10	2	51	0	[4, 6, 2]	2	1	2.1966620016169145	0	0	pure_pref	pure_pref	4
11	2	52	0	[3, 1, 5]	2	2	1.9244206008584115	1	0	pure_pref	pure_pref	4
12	2	53	0	[5, 1, 3]	2	1	2.3444908876035697	0	0	pure_pref	pure_pref	4
13	2	54	0	[6, 4, 2]	2	2	1.5287065372890538	1	0	pure_pref	pure_pref	4
14	2	55	0	[1, 3, 5]	2	1	1.844103377495685	0	0	pure_pref	pure_pref	4
15	2	56	0	[3, 1, 5]	2	2	1.2526991976114914	1	0	pure_pref	pure_pref	4
16	2	57	0	[5, 1, 3]	2	2	1.8841506499966272	1	0	pure_pref	pure_pref	4
17	2	58	0	[1, 5, 3]	2	2	2.2123972134104406	1	0	pure_pref	pure_pref	4
18	2	59	0	[2, 4, 6]	2	2	1.6123294146918852	1	0	pure_pref	pure_pref	4
19	2	60	0	[4, 2, 6]	2	1	1.748667972880412	0	0	pure_pref	pure_pref	4
0	3	61	0	[3, 5, 1]	2	1	0.8689652920320441	0	0	pure_pref	pure_pref	4
1	3	62	0	[1, 5, 3]	2	1	1.8848317472165945	0	0	pure_pref	pure_pref	4
2	3	63	0	[5, 1, 3]	2	2	1.1086502456928429	1	0	pure_pref	pure_pref	4
3	3	64	0	[4, 2, 6]	2	1	2.2849810287989385	0	0	pure_pref	pure_pref	4
4	3	65	0	[3, 5, 1]	2	1	0.9924765192513405	0	0	pure_pref	pure_pref	4
5	3	66	0	[4, 2, 6]	2	2	2.2610135597437875	1	0	pure_pref	pure_pref	4
6	3	67	0	[2, 4, 6]	2	2	1.664561796354974	1	0	pure_pref	pure_pref	4
7	3	68	0	[3, 1, 5]	2	2	1.90502270324032	1	0	pure_pref	pure_pref	4
8	3	69	0	[4, 6, 2]	2	1	2.0531576164707985	0	0	pure_pref	pure_pref	4
9	3	70	0	[1, 5, 3]	2	0	0	nan	0	pure_pref	pure_pref	4
10	3	71	0	[5, 1, 3]	2	1	0.5052733718976015	0	0	pure_pref	pure_pref	4
11	3	72	0	[6, 4, 2]	2	2	0.8571297505750408	1	0	pure_pref	pure_pref	4
12	3	73	0	[1, 3, 5]	2	2	1.1847561734152805	1	0	pure_pref	pure_pref	4
13	3	74	0	[2, 6, 4]	2	1	0.7453078932635435	0	0	pure_pref	pure_pref	4
14	3	75	0	[1, 3, 5]	2	2	0.9648277041737856	1	0	pure_pref	pure_pref	4
15	3	76	0	[5, 3, 1]	2	1	0.9568311874108986	0	0	pure_pref	pure_pref	4
16	3	77	0	[2, 4, 6]	2	2	0.8652344964857548	1	0	pure_pref	pure_pref	4
17	3	78	0	[6, 4, 2]	2	2	1.2691966784846045	1	0	pure_pref	pure_pref	4
18	3	79	0	[2, 4, 6]	2	2	1.025270883871599	1	0	pure_pref	pure_pref	4
19	3	80	0	[6, 4, 2]	2	1	1.177562356161161	0	0	pure_pref	pure_pref	4
0	4	81	0	[4, 6, 2]	2	2	1.1254043042858939	1	2	mix	1st	6
1	4	82	0	[3, 1, 5]	2	2	0.7815099210051812	1	2	mix	stay_pref	0
2	4	83	0	[5, 1, 3]	2	2	1.1255019593209	1	2	mix	stay_pref	0
3	4	84	0	[1, 5, 3]	2	2	1.5011227219006287	1	2	mix	stay_pref	0
4	4	85	0	[6, 2, 4]	2	2	1.3013833426634847	1	2	mix	stay_pref	0
5	4	86	0	[3, 1, 5]	2	2	1.037424581700634	1	2	mix	stay_pref	0
6	4	87	0	[2, 4, 6]	2	2	1.2613469552779861	1	2	mix	stay_pref	0
7	4	88	0	[6, 4, 2]	2	2	0.9974631461095669	1	2	mix	stay_pref	0
8	4	89	0	[1, 3, 5]	2	1	1.4010931765874375	0	2	mix	stay_pref	0
9	4	90	0	[3, 1, 5]	2	2	1.4174668781488435	1	2	mix	stay_pref	0
10	4	91	1	[1, 5, 6]	2	1	1.1334527585991054	0	2	mix	switch_pref	2
11	4	92	1	[4, 6, 5]	2	2	1.4732754867200129	1	2	mix	stay_sim	1
12	4	93	1	[3, 4, 5]	1	1	1.6852842570128814	1	2	mix	stay_sim	1
13	4	94	1	[2, 1, 6]	1	1	1.44561329850103	1	2	mix	stay_sim	1
14	4	95	1	[5, 3, 4]	2	1	1.4733787398145068	0	2	mix	stay_sim	1
15	4	96	1	[2, 4, 3]	2	2	1.0338356036572804	1	2	mix	stay_sim	1
16	4	97	1	[3, 4, 5]	1	1	1.417390371338115	1	2	mix	stay_sim	1
17	4	98	1	[2, 1, 6]	1	1	1.2977458481063877	1	2	mix	stay_sim	1
18	4	99	1	[6, 4, 5]	2	1	1.5899129190765962	0	2	mix	stay_sim	1
19	4	100	1	[3, 5, 4]	2	2	1.3386185233562173	1	2	mix	stay_sim	1
0	5	101	1	[6, 1, 2]	1	2	1.2737479007278125	0	1	pure_sim	pure_sim	5
1	5	102	1	[1, 6, 5]	1	1	1.401886234993981	1	1	pure_sim	pure_sim	5
2	5	103	1	[4, 2, 3]	2	1	1.3856151645209138	0	1	pure_sim	pure_sim	5
3	5	104	1	[3, 5, 4]	2	2	1.729928158238181	1	1	pure_sim	pure_sim	5
4	5	105	1	[2, 3, 4]	1	1	1.1175922124775752	1	1	pure_sim	pure_sim	5
5	5	106	1	[5, 4, 3]	1	1	1.6936707719100923	1	1	pure_sim	pure_sim	5
6	5	107	1	[3, 1, 2]	2	1	1.5060518131494973	0	1	pure_sim	pure_sim	5
7	5	108	1	[4, 6, 5]	2	1	1.1216778627854183	0	1	pure_sim	pure_sim	5
8	5	109	1	[1, 2, 3]	1	1	1.5179122348695273	1	1	pure_sim	pure_sim	5
9	5	110	1	[2, 1, 6]	1	1	1.3341130185981456	1	1	pure_sim	pure_sim	5
10	5	111	1	[6, 4, 5]	2	1	1.369746843316534	0	1	pure_sim	pure_sim	5
11	5	112	1	[2, 4, 3]	2	2	1.3422292716300035	1	1	pure_sim	pure_sim	5
12	5	113	1	[3, 4, 5]	1	1	1.61410120047276	1	1	pure_sim	pure_sim	5
13	5	114	1	[5, 4, 3]	1	1	1.3622924052992857	1	1	pure_sim	pure_sim	5
14	5	115	1	[2, 6, 1]	2	2	1.234198233501047	1	1	pure_sim	pure_sim	5
15	5	116	1	[1, 3, 2]	2	2	1.5183905579401653	1	1	pure_sim	pure_sim	5
16	5	117	1	[3, 4, 5]	1	1	1.4299412203768043	1	1	pure_sim	pure_sim	5
17	5	118	1	[1, 6, 5]	1	1	1.2663749455741709	1	1	pure_sim	pure_sim	5
18	5	119	1	[4, 2, 3]	2	1	1.5901878459908403	0	1	pure_sim	pure_sim	5
19	5	120	1	[6, 2, 1]	2	1	1.505960067176602	0	1	pure_sim	pure_sim	5
0	6	121	1	[2, 3, 4]	1	2	1.054572370466758	0	1	pure_sim	pure_sim	5
1	6	122	1	[6, 5, 4]	1	1	1.4179924737204601	1	1	pure_sim	pure_sim	5
2	6	123	1	[2, 6, 1]	2	2	1.3584431174967904	1	1	pure_sim	pure_sim	5
3	6	124	1	[4, 6, 5]	2	2	1.7544031846737198	1	1	pure_sim	pure_sim	5
4	6	125	1	[6, 1, 2]	1	1	1.2701679417800733	1	1	pure_sim	pure_sim	5
5	6	126	1	[5, 4, 3]	1	1	1.5263142999315278	1	1	pure_sim	pure_sim	5
6	6	127	1	[1, 5, 6]	2	2	1.3943552901660041	1	1	pure_sim	pure_sim	5
7	6	128	1	[3, 5, 4]	2	2	1.294162157118535	1	1	pure_sim	pure_sim	5
8	6	129	1	[6, 1, 2]	1	1	1.450268395844887	1	1	pure_sim	pure_sim	5
9	6	130	1	[3, 2, 1]	1	1	1.2985964421222889	1	1	pure_sim	pure_sim	5
10	6	131	1	[2, 6, 1]	2	2	1.5542094296201867	1	1	pure_sim	pure_sim	5
11	6	132	1	[3, 5, 4]	2	2	1.4106630590285931	1	1	pure_sim	pure_sim	5
12	6	133	1	[4, 5, 6]	1	1	1.86650307893251	1	1	pure_sim	pure_sim	5
13	6	134	1	[5, 4, 3]	1	1	1.5463618834360204	1	1	pure_sim	pure_sim	5
14	6	135	1	[4, 2, 3]	2	2	1.5229147228960755	1	1	pure_sim	pure_sim	5
15	6	136	1	[3, 5, 4]	2	2	1.7549863158551489	1	1	pure_sim	pure_sim	5
16	6	137	1	[2, 3, 4]	1	1	2.058735771599004	1	1	pure_sim	pure_sim	5
17	6	138	1	[1, 6, 5]	1	1	1.8907712881755288	1	1	pure_sim	pure_sim	5
18	6	139	1	[3, 1, 2]	2	2	1.6024855383466274	1	1	pure_sim	pure_sim	5
19	6	140	1	[4, 6, 5]	2	1	1.7227582882378556	0	1	pure_sim	pure_sim	5
0	7	141	1	[6, 1, 2]	1	1	1.5785426385518804	1	1	pure_sim	pure_sim	5
1	7	142	1	[3, 2, 1]	1	1	1.6629134788827287	1	1	pure_sim	pure_sim	5
2	7	143	1	[5, 3, 4]	2	2	1.1832335012750264	1	1	pure_sim	pure_sim	5
3	7	144	1	[1, 3, 2]	2	1	1.466703987062374	0	1	pure_sim	pure_sim	5
4	7	145	1	[4, 5, 6]	1	1	2.1586269204453856	1	1	pure_sim	pure_sim	5
5	7	146	1	[5, 4, 3]	1	1	1.6267739628042364	1	1	pure_sim	pure_sim	5
6	7	147	1	[1, 5, 6]	2	1	1.8147754556198379	0	1	pure_sim	pure_sim	5
7	7	148	1	[3, 5, 4]	2	1	1.4150933009887012	0	1	pure_sim	pure_sim	5
8	7	149	1	[5, 6, 1]	1	1	1.5028217329104336	1	1	pure_sim	pure_sim	5
9	7	150	1	[1, 6, 5]	1	2	1.6671935062513512	0	1	pure_sim	pure_sim	5
10	7	151	1	[5, 3, 4]	2	2	1.6751374634568492	1	1	pure_sim	pure_sim	5
11	7	152	1	[6, 2, 1]	2	1	1.1273054674379637	0	1	pure_sim	pure_sim	5
12	7	153	1	[5, 6, 1]	1	1	1.9633868259006704	1	1	pure_sim	pure_sim	5
13	7	154	1	[4, 3, 2]	1	2	1.754935311314057	0	1	pure_sim	pure_sim	5
14	7	155	1	[6, 4, 5]	2	2	1.6474031224729515	1	1	pure_sim	pure_sim	5
15	7	156	1	[3, 5, 4]	2	1	1.3114284381417747	0	1	pure_sim	pure_sim	5
16	7	157	1	[6, 1, 2]	1	1	1.263249673446353	1	1	pure_sim	pure_sim	5
17	7	158	1	[3, 2, 1]	1	1	1.6592874914476852	1	1	pure_sim	pure_sim	5
18	7	159	1	[2, 6, 1]	2	1	1.6874280027368513	0	1	pure_sim	pure_sim	5
19	7	160	1	[1, 3, 2]	2	2	1.5516514275050213	1	1	pure_sim	pure_sim	5
0	8	161	1	[2, 3, 4]	1	2	1.2835880450334116	0	1	pure_sim	pure_sim	5
1	8	162	1	[4, 3, 2]	1	2	1.6034505815759985	0	1	pure_sim	pure_sim	5
2	8	163	1	[6, 4, 5]	2	1	1.5597857187285626	0	1	pure_sim	pure_sim	5
3	8	164	1	[4, 6, 5]	2	1	1.7598970579088018	0	1	pure_sim	pure_sim	5
4	8	165	1	[1, 2, 3]	1	1	2.0038156994460223	1	1	pure_sim	pure_sim	5
5	8	166	1	[6, 5, 4]	1	1	1.3279175219254284	1	1	pure_sim	pure_sim	5
